Fechas,Reservas internacionales (millones US$) 
2-Jan-23,n.d.
3-Jan-23,73161.39549
4-Jan-23,73197.57501
5-Jan-23,73585.31438
6-Jan-23,73900.81857
9-Jan-23,74010.81078
10-Jan-23,73999.15309
11-Jan-23,74185.88217
12-Jan-23,74109.12228
13-Jan-23,73679.37111
16-Jan-23,73664.81975
17-Jan-23,73689.88652
18-Jan-23,73529.5259
19-Jan-23,73807.20231
20-Jan-23,74050.82239
23-Jan-23,73998.61169
24-Jan-23,73910.22196
25-Jan-23,74526.26768
26-Jan-23,74296.02744
27-Jan-23,74387.58612
30-Jan-23,74284.39338
31-Jan-23,73281.98323
1-Feb-23,74209.56277
2-Feb-23,74361.10759
3-Feb-23,74433.40697
6-Feb-23,74250.67248
7-Feb-23,74204.20208
8-Feb-23,74410.43548
9-Feb-23,74678.4438
10-Feb-23,74627.21946
13-Feb-23,74612.99958
14-Feb-23,74342.0589
15-Feb-23,74089.21974
16-Feb-23,74422.48796
17-Feb-23,74408.22977
20-Feb-23,74417.81495
21-Feb-23,74213.89885
22-Feb-23,74282.28883
23-Feb-23,74291.67067
24-Feb-23,74023.38788
27-Feb-23,73852.429
28-Feb-23,73884.52116
1-Mar-23,74077.77802
2-Mar-23,74078.39857
3-Mar-23,74115.06141
6-Mar-23,74220.14408
7-Mar-23,74150.37838
8-Mar-23,74073.46651
9-Mar-23,73758.36448
10-Mar-23,74408.81452
13-Mar-23,74916.32702
14-Mar-23,74358.05479
15-Mar-23,74099.20405
16-Mar-23,73898.33572
17-Mar-23,74181.02699
20-Mar-23,73974.80559
21-Mar-23,73806.81703
22-Mar-23,74304.72489
23-Mar-23,74636.71066
24-Mar-23,74583.99414
27-Mar-23,74654.69464
28-Mar-23,74718.93072
29-Mar-23,74366.76272
30-Mar-23,74211.01032
31-Mar-23,72734.40663
3-Apr-23,73680.69501
4-Apr-23,74704.139
5-Apr-23,74698.59127
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,74549.334
11-Apr-23,74727.99879
12-Apr-23,74921.39416
13-Apr-23,74926.83025
14-Apr-23,74595.2943
17-Apr-23,74256.98169
18-Apr-23,74271.63195
19-Apr-23,74160.20384
20-Apr-23,74225.76323
21-Apr-23,74086.665
24-Apr-23,73981.84362
25-Apr-23,74069.35737
26-Apr-23,74017.15987
27-Apr-23,74383.93894
28-Apr-23,74591.31778
1-May-23,n.d.
2-May-23,74701.23196
3-May-23,74896.52412
4-May-23,75418.91223
5-May-23,75674.11267
8-May-23,75706.18769
9-May-23,75824.6085
10-May-23,75931.95033
11-May-23,75956.67078
12-May-23,75741.19757
15-May-23,76699.90241
16-May-23,76716.42352
17-May-23,76715.83907
18-May-23,76809.18568
19-May-23,76546.20216
22-May-23,76261.29931
23-May-23,76339.2159
24-May-23,76166.12165
25-May-23,76323.6375
26-May-23,76252.05367
29-May-23,76254.57762
30-May-23,76223.78513
31-May-23,76243.91193
1-Jun-23,76006.33469
2-Jun-23,75978.48836
5-Jun-23,75945.70247
6-Jun-23,76133.26637
7-Jun-23,75618.01471
8-Jun-23,75834.27378
9-Jun-23,76101.38068
12-Jun-23,74293.58366
13-Jun-23,74249.28644
14-Jun-23,74478.91049
15-Jun-23,74779.10064
16-Jun-23,74227.54543
19-Jun-23,74210.83447
20-Jun-23,74115.92769
21-Jun-23,74012.99744
22-Jun-23,74186.94256
23-Jun-23,74346.57749
26-Jun-23,74178.0209
27-Jun-23,74040.30719
28-Jun-23,74075.9635
29-Jun-23,n.d.
30-Jun-23,72942.81178
3-Jul-23,73335.85044
4-Jul-23,73352.40988
5-Jul-23,73806.48868
6-Jul-23,74328.13768
7-Jul-23,74665.69103
10-Jul-23,74608.33974
11-Jul-23,74796.51423
12-Jul-23,75160.27729
13-Jul-23,75275.29468
14-Jul-23,74914.51771
17-Jul-23,74696.69488
18-Jul-23,74796.95042
19-Jul-23,74743.17619
20-Jul-23,74590.33603
21-Jul-23,74635.35906
24-Jul-23,74284.34697
25-Jul-23,74142.86656
26-Jul-23,74111.62151
27-Jul-23,74037.76736
28-Jul-23,n.d.
31-Jul-23,73274.55685
1-Aug-23,74249.31311
2-Aug-23,74229.68373
3-Aug-23,74320.52837
4-Aug-23,74363.1975
7-Aug-23,74265.54275
8-Aug-23,74222.08648
9-Aug-23,74416.43509
10-Aug-23,74097.99858
11-Aug-23,74013.5092
14-Aug-23,74069.02756
15-Aug-23,73783.1077
16-Aug-23,73475.5825
17-Aug-23,73389.20626
18-Aug-23,73171
21-Aug-23,72996.36165
22-Aug-23,72957.16129
23-Aug-23,73025.23038
24-Aug-23,72615.72579
25-Aug-23,72689.6733
28-Aug-23,72754.88614
29-Aug-23,72721.30017
30-Aug-23,n.d.
31-Aug-23,71852.70556
1-Sep-23,72720.94825
4-Sep-23,72724.33726
5-Sep-23,72636.80139
6-Sep-23,72575.49106
7-Sep-23,72575.66216
8-Sep-23,72554.23753
11-Sep-23,72481.83785
12-Sep-23,72709.24568
13-Sep-23,72498.99754
14-Sep-23,72575.25863
15-Sep-23,72593.99516
18-Sep-23,72688.22794
19-Sep-23,72823.33264
20-Sep-23,72666.27228
21-Sep-23,72747.90324
22-Sep-23,72426.90167
25-Sep-23,71915.20949
26-Sep-23,71706.81984
27-Sep-23,71726.40087
28-Sep-23,71492.82173
29-Sep-23,71233.70889
2-Oct-23,71032.33238
3-Oct-23,71362.15052
4-Oct-23,71436.59606
5-Oct-23,71605.50755
6-Oct-23,71645.46999
9-Oct-23,71692.36859
10-Oct-23,71602.19842
11-Oct-23,71647.40073
12-Oct-23,71828.75104
13-Oct-23,72171.73673
16-Oct-23,71815.41903
17-Oct-23,71508.6599
18-Oct-23,71516.86208
19-Oct-23,71653.6663
20-Oct-23,71700.58885
23-Oct-23,71895.25527
24-Oct-23,71686.83275
25-Oct-23,71677.21663
26-Oct-23,71720.32492
27-Oct-23,71595.46897
30-Oct-23,71609.61697
31-Oct-23,71147.78736
1-Nov-23,n.d.
2-Nov-23,71595.31972
3-Nov-23,72025.97794
6-Nov-23,72197.23002
7-Nov-23,72373.16988
8-Nov-23,74047.77634
9-Nov-23,74083.01946
10-Nov-23,74005.20979
13-Nov-23,73841.27899
14-Nov-23,72473.97317
15-Nov-23,72253.5967
16-Nov-23,72405.867
17-Nov-23,72243.74572
20-Nov-23,72019.13407
21-Nov-23,72067.44424
22-Nov-23,73843.23098
23-Nov-23,73853.98006
24-Nov-23,73989.02424
27-Nov-23,72621.60452
28-Nov-23,72876.70555
29-Nov-23,72905.19136
30-Nov-23,71751.29792
1-Dec-23,72869.84752
4-Dec-23,73018.58904
5-Dec-23,73005.33316
6-Dec-23,73035.0577
7-Dec-23,73015.74579
8-Dec-23,n.d.
11-Dec-23,73075.20574
12-Dec-23,73373.96284
13-Dec-23,73765.85875
14-Dec-23,73748.12303
15-Dec-23,73283.7771
18-Dec-23,72880.21955
19-Dec-23,73097.92224
20-Dec-23,73067.64991
21-Dec-23,73280.64432
22-Dec-23,73305.87325
25-Dec-23,n.d.
26-Dec-23,73436.87312
27-Dec-23,73586.37643
28-Dec-23,73492.95903
29-Dec-23,71033.01046
