Fechas,Indice General Bursatil BVL (indice)
2-Jan-23,n.d.
3-Jan-23,21484.9
4-Jan-23,21768.94
5-Jan-23,21891.62
6-Jan-23,22262.45
9-Jan-23,22545.33
10-Jan-23,22746.89
11-Jan-23,22567.84
12-Jan-23,23012.94
13-Jan-23,23236.32
16-Jan-23,23127.41
17-Jan-23,22790.51
18-Jan-23,22892.14
19-Jan-23,22973.34
20-Jan-23,23006.6
23-Jan-23,23027.65
24-Jan-23,23141.56
25-Jan-23,23096.37
26-Jan-23,22901.64
27-Jan-23,22648.38
30-Jan-23,22406.82
31-Jan-23,22416.72
1-Feb-23,22587.24
2-Feb-23,22400.11
3-Feb-23,22245.89
6-Feb-23,22254.65
7-Feb-23,22318.93
8-Feb-23,22400.07
9-Feb-23,22298.71
10-Feb-23,21695.64
13-Feb-23,22010.27
14-Feb-23,21929.3
15-Feb-23,21882.48
16-Feb-23,21969.55
17-Feb-23,21947.45
20-Feb-23,21925.12
21-Feb-23,21864.75
22-Feb-23,21704.7
23-Feb-23,21539.57
24-Feb-23,21601.7
27-Feb-23,21565.72
28-Feb-23,21576.43
1-Mar-23,22005.25
2-Mar-23,22022.05
3-Mar-23,22242.35
6-Mar-23,22129.03
7-Mar-23,21957.16
8-Mar-23,22072.05
9-Mar-23,21760.62
10-Mar-23,21604.47
13-Mar-23,21592.02
14-Mar-23,21769.69
15-Mar-23,21430.39
16-Mar-23,21376.31
17-Mar-23,21445.16
20-Mar-23,21434.58
21-Mar-23,21653.54
22-Mar-23,21649.72
23-Mar-23,21391.08
24-Mar-23,21401.03
27-Mar-23,21614.28
28-Mar-23,21782.46
29-Mar-23,21910.46
30-Mar-23,21909.53
31-Mar-23,21898.03
3-Apr-23,21998.26
4-Apr-23,21991.73
5-Apr-23,21915.78
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,22111.82
11-Apr-23,22274.24
12-Apr-23,22283.32
13-Apr-23,22456.33
14-Apr-23,22477.45
17-Apr-23,22394.93
18-Apr-23,22511.27
19-Apr-23,22501.12
20-Apr-23,22473.41
21-Apr-23,22282.13
24-Apr-23,22345.61
25-Apr-23,22138.78
26-Apr-23,21940.47
27-Apr-23,21974.66
28-Apr-23,21822.57
1-May-23,n.d.
2-May-23,21741.49
3-May-23,21748.46
4-May-23,21619.07
5-May-23,22155.37
8-May-23,22328.83
9-May-23,22289.63
10-May-23,21903.67
11-May-23,21715.12
12-May-23,21535.66
15-May-23,21625.72
16-May-23,21725.85
17-May-23,21744.45
18-May-23,21587.79
19-May-23,21633.44
22-May-23,21651.84
23-May-23,21595.53
24-May-23,21405.58
25-May-23,21242.29
26-May-23,21240.5
29-May-23,21300.13
30-May-23,21161.78
31-May-23,21178.83
1-Jun-23,21494.85
2-Jun-23,21845.24
5-Jun-23,21937.36
6-Jun-23,22050.69
7-Jun-23,22102.59
8-Jun-23,22237.14
9-Jun-23,22001.17
12-Jun-23,22012.71
13-Jun-23,22287.69
14-Jun-23,22379.73
15-Jun-23,22445.04
16-Jun-23,22584.26
19-Jun-23,22567.66
20-Jun-23,22534.86
21-Jun-23,22521.03
22-Jun-23,22423.14
23-Jun-23,22233.01
26-Jun-23,22303.25
27-Jun-23,22195.65
28-Jun-23,22140.73
29-Jun-23,n.d.
30-Jun-23,22329.75
3-Jul-23,22432.2
4-Jul-23,22410.18
5-Jul-23,22388.3
6-Jul-23,22276.12
7-Jul-23,22518.83
10-Jul-23,22767.67
11-Jul-23,22557.54
12-Jul-23,22650.81
13-Jul-23,22893.43
14-Jul-23,22757.9
17-Jul-23,22963.81
18-Jul-23,23058.87
19-Jul-23,23077.62
20-Jul-23,22984.9
21-Jul-23,23028.3
24-Jul-23,23100.77
25-Jul-23,23311.96
26-Jul-23,23381.66
27-Jul-23,23155.86
28-Jul-23,n.d.
31-Jul-23,23509.38
1-Aug-23,23679.9
2-Aug-23,23350.71
3-Aug-23,23598.46
4-Aug-23,23651.61
7-Aug-23,23806.19
8-Aug-23,23742.21
9-Aug-23,23803.86
10-Aug-23,23656.87
11-Aug-23,23465.31
14-Aug-23,23225
15-Aug-23,23062.92
16-Aug-23,22898.55
17-Aug-23,22826.87
18-Aug-23,22747.82
21-Aug-23,22857.57
22-Aug-23,22941.84
23-Aug-23,23112.88
24-Aug-23,22981.52
25-Aug-23,22936.96
28-Aug-23,23121.59
29-Aug-23,23336.3
30-Aug-23,n.d.
31-Aug-23,23133.53
1-Sep-23,23287.01
4-Sep-23,23250.71
5-Sep-23,22973.35
6-Sep-23,22950.47
7-Sep-23,22782.39
8-Sep-23,22750.51
11-Sep-23,22781.57
12-Sep-23,22854.54
13-Sep-23,22818.81
14-Sep-23,23143.38
15-Sep-23,22955.67
18-Sep-23,22935.25
19-Sep-23,22737.53
20-Sep-23,22742.29
21-Sep-23,22388.3
22-Sep-23,22636.93
25-Sep-23,22707.11
26-Sep-23,22603.43
27-Sep-23,22529.13
28-Sep-23,22619.43
29-Sep-23,22528.4
2-Oct-23,22158.08
3-Oct-23,22180.85
4-Oct-23,22008.9
5-Oct-23,21940.38
6-Oct-23,22238.78
9-Oct-23,22295.6
10-Oct-23,22268.3
11-Oct-23,22250.1
12-Oct-23,22162.84
13-Oct-23,22148.42
16-Oct-23,22312.63
17-Oct-23,22235.27
18-Oct-23,22208.81
19-Oct-23,22206.09
20-Oct-23,22179.8
23-Oct-23,22388.3
24-Oct-23,22212.93
25-Oct-23,22158.66
26-Oct-23,22059.55
27-Oct-23,21941.31
30-Oct-23,21867.26
31-Oct-23,21817.42
1-Nov-23,n.d.
2-Nov-23,21792.38
3-Nov-23,21451.73
6-Nov-23,21568.86
7-Nov-23,21590.29
8-Nov-23,21660.59
9-Nov-23,21697.64
10-Nov-23,21818.67
13-Nov-23,21534.21
14-Nov-23,21851.23
15-Nov-23,22046.76
16-Nov-23,22327.18
17-Nov-23,22255.93
20-Nov-23,22290.43
21-Nov-23,22367.74
22-Nov-23,22066.14
23-Nov-23,22137.27
24-Nov-23,22177.3
27-Nov-23,21881.25
28-Nov-23,22060.65
29-Nov-23,22135.98
30-Nov-23,21934.44
1-Dec-23,22324.37
4-Dec-23,22317.31
5-Dec-23,22363.09
6-Dec-23,22160.03
7-Dec-23,22022.64
8-Dec-23,n.d.
11-Dec-23,22099.31
12-Dec-23,22149.54
13-Dec-23,22634.17
14-Dec-23,23366.06
15-Dec-23,24779.81
18-Dec-23,24962.39
19-Dec-23,25332.61
20-Dec-23,25614.27
21-Dec-23,25627.66
22-Dec-23,25683.02
25-Dec-23,n.d.
26-Dec-23,25812.58
27-Dec-23,25879.52
28-Dec-23,25851.68
29-Dec-23,25960.01
