Fechas,Tipo de cambio Interbancario - Compra
2-Jan-23,n.d.
3-Jan-23,3.813666667
4-Jan-23,3.823833333
5-Jan-23,3.824333333
6-Jan-23,3.798
9-Jan-23,3.791833333
10-Jan-23,3.800833333
11-Jan-23,3.776
12-Jan-23,3.780666667
13-Jan-23,3.808
16-Jan-23,3.8245
17-Jan-23,3.838666667
18-Jan-23,3.833166667
19-Jan-23,3.859
20-Jan-23,3.854
23-Jan-23,3.870666667
24-Jan-23,3.885
25-Jan-23,3.8945
26-Jan-23,3.856166667
27-Jan-23,3.8255
30-Jan-23,3.851666667
31-Jan-23,3.845
1-Feb-23,3.843166667
2-Feb-23,3.827333333
3-Feb-23,3.844833333
6-Feb-23,3.847
7-Feb-23,3.843
8-Feb-23,3.855666667
9-Feb-23,3.862333333
10-Feb-23,3.852666667
13-Feb-23,3.8485
14-Feb-23,3.858833333
15-Feb-23,3.859
16-Feb-23,3.8605
17-Feb-23,3.841333333
20-Feb-23,3.8405
21-Feb-23,3.831666667
22-Feb-23,3.816833333
23-Feb-23,3.799666667
24-Feb-23,3.8175
27-Feb-23,3.809166667
28-Feb-23,3.802166667
1-Mar-23,3.773166667
2-Mar-23,3.783666667
3-Mar-23,3.782
6-Mar-23,3.7825
7-Mar-23,3.786833333
8-Mar-23,3.789
9-Mar-23,3.786166667
10-Mar-23,3.781166667
13-Mar-23,3.8
14-Mar-23,3.786166667
15-Mar-23,3.8065
16-Mar-23,3.791
17-Mar-23,3.792166667
20-Mar-23,3.776333333
21-Mar-23,3.767833333
22-Mar-23,3.769833333
23-Mar-23,3.7652
24-Mar-23,3.7707
27-Mar-23,3.766
28-Mar-23,3.764166667
29-Mar-23,3.753333333
30-Mar-23,3.756333333
31-Mar-23,3.760333333
3-Apr-23,3.766333333
4-Apr-23,3.770833333
5-Apr-23,3.769833333
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,3.778333333
11-Apr-23,3.782166667
12-Apr-23,3.774166667
13-Apr-23,3.773333333
14-Apr-23,3.780166667
17-Apr-23,3.781833333
18-Apr-23,3.776833333
19-Apr-23,3.776333333
20-Apr-23,3.763
21-Apr-23,3.761333333
24-Apr-23,3.7555
25-Apr-23,3.7545
26-Apr-23,3.744666667
27-Apr-23,3.7285
28-Apr-23,3.710833333
1-May-23,n.d.
2-May-23,3.707166667
3-May-23,3.7055
4-May-23,3.7175
5-May-23,3.710666667
8-May-23,3.704333333
9-May-23,3.695833333
10-May-23,3.669333333
11-May-23,3.6745
12-May-23,3.653
15-May-23,3.660833333
16-May-23,3.682833333
17-May-23,3.692666667
18-May-23,3.700666667
19-May-23,3.6875
22-May-23,3.689333333
23-May-23,3.691833333
24-May-23,3.685
25-May-23,3.6915
26-May-23,3.669666667
29-May-23,3.670166667
30-May-23,3.672333333
31-May-23,3.6775
1-Jun-23,3.680333333
2-Jun-23,3.6835
5-Jun-23,3.676166667
6-Jun-23,3.688333333
7-Jun-23,3.668166667
8-Jun-23,3.654166667
9-Jun-23,3.642833333
12-Jun-23,3.651833333
13-Jun-23,3.643333333
14-Jun-23,3.647166667
15-Jun-23,3.649
16-Jun-23,3.631666667
19-Jun-23,3.632166667
20-Jun-23,3.6435
21-Jun-23,3.640333333
22-Jun-23,3.634666667
23-Jun-23,3.6315
26-Jun-23,3.638833333
27-Jun-23,3.635666667
28-Jun-23,3.631666667
29-Jun-23,n.d.
30-Jun-23,3.624666667
3-Jul-23,3.624833333
4-Jul-23,3.626833333
5-Jul-23,3.629333333
6-Jul-23,3.645333333
7-Jul-23,3.638833333
10-Jul-23,3.636666667
11-Jul-23,3.63
12-Jul-23,3.584666667
13-Jul-23,3.566
14-Jul-23,3.56
17-Jul-23,3.559666667
18-Jul-23,3.553333333
19-Jul-23,3.576333333
20-Jul-23,3.584833333
21-Jul-23,3.584833333
24-Jul-23,3.5865
25-Jul-23,3.6015
26-Jul-23,3.5965
27-Jul-23,3.594833333
28-Jul-23,n.d.
31-Jul-23,3.608333333
1-Aug-23,3.635
2-Aug-23,3.66
3-Aug-23,3.696
4-Aug-23,3.687333333
7-Aug-23,3.688833333
8-Aug-23,3.707
9-Aug-23,3.692
10-Aug-23,3.671666667
11-Aug-23,3.681833333
14-Aug-23,3.701666667
15-Aug-23,3.716166667
16-Aug-23,3.712666667
17-Aug-23,3.7225
18-Aug-23,3.71
21-Aug-23,3.716833333
22-Aug-23,3.726
23-Aug-23,3.708666667
24-Aug-23,3.696
25-Aug-23,3.690833333
28-Aug-23,3.693666667
29-Aug-23,3.690666667
30-Aug-23,n.d.
31-Aug-23,3.6925
1-Sep-23,3.69
4-Sep-23,3.6885
5-Sep-23,3.703166667
6-Sep-23,3.704166667
7-Sep-23,3.709666667
8-Sep-23,3.714333333
11-Sep-23,3.698
12-Sep-23,3.7055
13-Sep-23,3.702166667
14-Sep-23,3.708833333
15-Sep-23,3.7205
18-Sep-23,3.706666667
19-Sep-23,3.711166667
20-Sep-23,3.714166667
21-Sep-23,3.740333333
22-Sep-23,3.746333333
25-Sep-23,3.771666667
26-Sep-23,3.7815
27-Sep-23,3.7965
28-Sep-23,3.802166667
29-Sep-23,3.791
2-Oct-23,3.797666667
3-Oct-23,3.811166667
4-Oct-23,3.812
5-Oct-23,3.820166667
6-Oct-23,3.8265
9-Oct-23,3.834333333
10-Oct-23,3.823166667
11-Oct-23,3.823333333
12-Oct-23,3.8405
13-Oct-23,3.847833333
16-Oct-23,3.8565
17-Oct-23,3.856333333
18-Oct-23,3.865666667
19-Oct-23,3.870666667
20-Oct-23,3.871833333
23-Oct-23,3.867166667
24-Oct-23,3.863666667
25-Oct-23,3.870333333
26-Oct-23,3.866166667
27-Oct-23,3.8565
30-Oct-23,3.84
31-Oct-23,3.835833333
1-Nov-23,n.d.
2-Nov-23,3.792
3-Nov-23,3.730333333
6-Nov-23,3.755333333
7-Nov-23,3.772166667
8-Nov-23,3.794333333
9-Nov-23,3.795333333
10-Nov-23,3.808833333
13-Nov-23,3.809333333
14-Nov-23,3.7675
15-Nov-23,3.771333333
16-Nov-23,3.768333333
17-Nov-23,3.769166667
20-Nov-23,3.7375
21-Nov-23,3.737833333
22-Nov-23,3.74
23-Nov-23,3.732666667
24-Nov-23,3.731166667
27-Nov-23,3.720166667
28-Nov-23,3.727833333
29-Nov-23,3.731833333
30-Nov-23,3.736833333
1-Dec-23,3.732166667
4-Dec-23,3.743
5-Dec-23,3.755166667
6-Dec-23,3.753166667
7-Dec-23,3.752666667
8-Dec-23,n.d.
11-Dec-23,3.770666667
12-Dec-23,3.775
13-Dec-23,3.785166667
14-Dec-23,3.757333333
15-Dec-23,3.761
18-Dec-23,3.744666667
19-Dec-23,3.710833333
20-Dec-23,3.702166667
21-Dec-23,3.7
22-Dec-23,3.681833333
25-Dec-23,n.d.
26-Dec-23,3.682666667
27-Dec-23,3.687666667
28-Dec-23,3.700833333
29-Dec-23,3.705666667
